ObjectID,ROS Number,Lifeboat Station,AIC,Year,Lifeboat Class,Lifeboat Number,RoS Type,Casualty Category,Casualty Type,Reason for launch,Outcome,Visibility at incident,Weather at incident,Sea conditions at incident,Wind direction at incident,Visibility at launch,Weather at launch,Sea conditions at launch,Wind direction at launch,Arrived on scene?,x,y,Date of launch,Time of launch,Date time of launch,x2,y2
134179,LBI05622/2023,St Peter Port,Motorboat,2023,SEVERN,ON1203,ALB,LEISURE,Motorboat,Unknown person,Rendered assistance,GOOD ,PART CLOUDY, SLIGHT,225,GOOD ,PART CLOUDY, SLIGHT,225,Yes,-2.80167,49.75743,2023-07-25,19:31:00,7/25/2023 6:31:00 PM,-2.80167,49.75743
134198,LBI02601/2021,St Peter Port,Commercial fishing,2021,SEVERN,ON1203,ALB,COMMERCIAL,Commercial fishing,Machinery/equipment failure,Rendered assistance,GOOD ,CLEAR SKIES, CALM,225,GOOD ,CLEAR SKIES, CALM,225,Yes,-3.24737,49.73032,2021-05-27,09:04:00,5/27/2021 8:04:00 AM,-3.24737,49.73032
134202,LBI01677/2024,St Peter Port,Unknown person,2024,SEVERN,ON1279,ALB,PEOPLE,Unknown person,Injured/ill,Rendered assistance,FAIR ,PART CLOUDY, ROUGH,180,FAIR ,PART CLOUDY, ROUGH,180,Yes,-2.20034,49.72504,2024-04-07,22:26:00,4/7/2024 9:26:00 PM,-2.20034,49.72504
134204,LBI00475/2023,St Peter Port,Unknown person,2023,SEVERN,ON1203,ALB,PEOPLE,Unknown person,Injured/ill,Rendered assistance,GOOD ,CLEAR SKIES, SMOOTH,90,GOOD ,CLEAR SKIES, SMOOTH,90,Yes,-2.19106,49.72486,2023-02-06,17:07:00,2/6/2023 5:07:00 PM,-2.19106,49.72486
134205,LBI03958/2023,St Peter Port,Unknown person,2023,SEVERN,ON1203,ALB,PEOPLE,Unknown person,Injured/ill,Rendered assistance,POOR ,FOG, SLIGHT,135,POOR ,FOG, SLIGHT,135,Yes,-2.20059,49.72469,2023-06-19,11:04:00,6/19/2023 10:04:00 AM,-2.20059,49.72469
134206,LBI02097/2024,St Peter Port,Unknown person,2024,SEVERN,ON1279,ALB,PEOPLE,Unknown person,Injured/ill,Rendered assistance,GOOD ,CLEAR SKIES, SLIGHT,,GOOD ,CLEAR SKIES, SLIGHT,NULL,Yes,-2.2006,49.72435,2024-04-24,19:14:00,4/24/2024 6:14:00 PM,-2.2006,49.72435
134207,LBI01116/2024,St Peter Port,Unknown person,2024,SEVERN,ON1279,ALB,PEOPLE,Unknown person,Injured/ill,Rendered assistance,FAIR ,CLEAR SKIES, MOD/CHOP,270,FAIR ,CLEAR SKIES, MOD/CHOP,270,Yes,-2.20063,49.72424,2024-03-11,18:48:00,3/11/2024 6:48:00 PM,-2.20063,49.72424
134210,LBI06863/2020,St Peter Port,Motorboat,2020,SEVERN,ON1203,ALB,LEISURE,Motorboat,Machinery/equipment failure,Rendered assistance,GOOD ,PART CLOUDY, SLIGHT,270,GOOD ,PART CLOUDY, SLIGHT,270,Yes,-2.88565,49.71857,2020-09-07,09:47:00,9/7/2020 8:47:00 AM,-2.88565,49.71857
134226,LBI08778/2023,St Peter Port,Motorboat,2023,SEVERN,ON1203,ALB,LEISURE,Motorboat,Machinery/equipment failure,Rendered assistance,POOR ,FOG, SLIGHT,135,POOR ,FOG, SLIGHT,135,Yes,-2.44917,49.65447,2023-10-02,13:13:00,10/2/2023 12:13:00 PM,-2.44917,49.65447
134229,LBI05813/2020,St Peter Port,Sailing vessel,2020,SEVERN,ON1203,ALB,LEISURE,Sailing vessel,Machinery/equipment failure,Rendered assistance,GOOD ,PART CLOUDY, SLIGHT,225,GOOD ,PART CLOUDY, SLIGHT,225,Yes,-2.62782,49.65107,2020-08-18,08:32:00,8/18/2020 7:32:00 AM,-2.62782,49.65107
134232,LBI02665/2022,St Peter Port,Commercial fishing,2022,SEVERN,ON1203,ALB,COMMERCIAL,Commercial fishing,Machinery/equipment failure,Rendered assistance,GOOD ,CLEAR SKIES, SLIGHT,315,GOOD ,CLEAR SKIES, SLIGHT,315,Yes,-2.75678,49.64772,2022-05-19,12:24:00,5/19/2022 11:24:00 AM,-2.75678,49.64772
134240,LBI05371/2022,St Peter Port,Sailing vessel,2022,SEVERN,ON1203,ALB,LEISURE,Sailing vessel,Machinery/equipment failure,Rendered assistance,GOOD ,CLEAR SKIES, SMOOTH,0,GOOD ,CLEAR SKIES, SMOOTH,0,Yes,-2.735,49.59533,2022-07-22,23:06:00,7/22/2022 10:06:00 PM,-2.735,49.59533
134241,LBI06579/2020,St Peter Port,Motorboat,2020,SEVERN,ON1203,ALB,LEISURE,Motorboat,Fire/explosion,Rendered assistance,GOOD ,CLEAR SKIES, SLIGHT,0,GOOD ,CLEAR SKIES, SLIGHT,0,Yes,-2.21333,49.58883,2020-08-30,17:32:00,8/30/2020 4:32:00 PM,-2.21333,49.58883
134244,LBI04474/2022,St Peter Port,Motorboat,2022,SEVERN,ON1203,ALB,LEISURE,Motorboat,Machinery/equipment failure,Rendered assistance,GOOD ,CLEAR SKIES, SLIGHT,315,GOOD ,CLEAR SKIES, SLIGHT,315,Yes,-2.291,49.57683,2022-07-07,08:25:00,7/7/2022 7:25:00 AM,-2.291,49.57683
134246,LBI03943/2022,St Peter Port,Commercial fishing,2022,SEVERN,ON1203,ALB,COMMERCIAL,Commercial fishing,Unknown craft,Rendered assistance,GOOD ,PART CLOUDY, MOD/CHOP,225,GOOD ,PART CLOUDY, MOD/CHOP,225,Yes,-3.18667,49.56,2022-06-25,03:18:00,6/25/2022 2:18:00 AM,-3.18667,49.56
134247,LBI06040/2021,St Peter Port,Motorboat,2021,SEVERN,ON1203,ALB,LEISURE,Motorboat,Machinery/equipment failure,Rendered assistance,GOOD ,CLEAR SKIES, SMOOTH,315,GOOD ,CLEAR SKIES, SMOOTH,315,Yes,-2.40998,49.55958,2021-08-14,18:43:00,8/14/2021 5:43:00 PM,-2.40998,49.55958
134248,LBI07276/2024,St Peter Port,Sailing vessel,2024,SEVERN,ON1203,ALB,LEISURE,Sailing vessel,Capsize/swamping,Rendered assistance,GOOD ,CLEAR SKIES, SMOOTH,135,GOOD ,CLEAR SKIES, SMOOTH,135,Yes,-2.13133,49.5555,2024-08-27,21:10:00,8/27/2024 8:10:00 PM,-2.13133,49.5555
134249,LBI03497/2022,St Peter Port,Kayak/canoe,2022,SEVERN,ON1203,ALB,LEISURE,Kayak/canoe,Blown/swept out to sea,Rendered assistance,GOOD ,CLEAR SKIES, SMOOTH,45,GOOD ,CLEAR SKIES, SMOOTH,45,Yes,-2.4062,49.54083,2022-06-13,19:11:00,6/13/2022 6:11:00 PM,-2.4062,49.54083
134250,LBI06493/2023,St Peter Port,Sailing vessel,2023,SEVERN,ON1203,ALB,LEISURE,Sailing vessel,Machinery/equipment failure,Rendered assistance,EXCELLENT ,PART CLOUDY, SMOOTH,,EXCELLENT ,PART CLOUDY, SMOOTH,NULL,Yes,-2.33917,49.5395,2023-08-15,17:32:00,8/15/2023 4:32:00 PM,-2.33917,49.5395
134251,LBI03848/2024,St Peter Port,Unknown Craft,2024,SEVERN,ON1203,ALB,PEOPLE,Unknown Craft,Unknown craft,Stood down,UNKNOWN,UNKNOWN,,,GOOD ,OVERCAST, MOD/CHOP,180,No,-2.42667,49.53167,2024-06-13,08:45:00,6/13/2024 7:45:00 AM,-2.42667,49.53167
134252,LBI08062/2022,St Peter Port,Motorboat,2022,SEVERN,ON1203,ALB,LEISURE,Motorboat,Machinery/equipment failure,Rendered assistance,GOOD ,PART CLOUDY, SMOOTH,90,GOOD ,PART CLOUDY, SMOOTH,90,Yes,-2.37057,49.52902,2022-09-11,20:49:00,9/11/2022 7:49:00 PM,-2.37057,49.52902
134253,LBI05685/2024,St Peter Port,Sailing vessel,2024,SEVERN,ON1203,ALB,LEISURE,Sailing vessel,Machinery/equipment failure,Rendered assistance,GOOD ,CLEAR SKIES, SMOOTH,45,GOOD ,CLEAR SKIES, SMOOTH,45,Yes,-2.58925,49.52573,2024-07-28,19:06:00,7/28/2024 6:06:00 PM,-2.58925,49.52573
134254,LBI08447/2023,St Peter Port,Motorboat,2023,SEVERN,ON1203,ALB,LEISURE,Motorboat,Machinery/equipment failure,Rendered assistance,GOOD ,PART CLOUDY, SMOOTH,135,GOOD ,PART CLOUDY, SMOOTH,135,Yes,-2.45922,49.52087,2023-09-23,12:50:00,9/23/2023 11:50:00 AM,-2.45922,49.52087
134255,LBI04048/2023,St Peter Port,Motorboat,2023,SEVERN,ON1203,ALB,LEISURE,Motorboat,Machinery/equipment failure,Rendered assistance,GOOD ,CLEAR SKIES, SLIGHT,180,GOOD ,CLEAR SKIES, SLIGHT,180,Yes,-2.19673,49.518,2023-06-21,11:18:00,6/21/2023 10:18:00 AM,-2.19673,49.518
134256,LBI01186/2020,St Peter Port,False alarm,2020,SEVERN,ON1237,ALB,PEOPLE,False alarm,False alarm,False alarm,EXCELLENT ,CLEAR SKIES, SMOOTH,135,EXCELLENT ,CLEAR SKIES, SMOOTH,135,Yes,-2.59979,49.51752,2020-04-05,05:37:00,4/5/2020 4:37:00 AM,-2.59979,49.51752
134257,LBI08878/2022,St Peter Port,Sailing vessel,2022,SEVERN,ON1203,ALB,LEISURE,Sailing vessel,Machinery/equipment failure,Rendered assistance,GOOD ,CLEAR SKIES, MOD/CHOP,45,GOOD ,CLEAR SKIES, MOD/CHOP,45,Yes,-2.41667,49.51667,2022-10-10,15:43:00,10/10/2022 2:43:00 PM,-2.41667,49.51667
134258,LBI01548/2023,St Peter Port,Motorboat,2023,SEVERN,ON1203,ALB,LEISURE,Motorboat,Unknown person,Rendered assistance,GOOD ,PART CLOUDY, SLIGHT,45,GOOD ,PART CLOUDY, SLIGHT,45,Yes,-2.40067,49.51533,2023-04-07,19:46:00,4/7/2023 6:46:00 PM,-2.40067,49.51533
134259,LBI03653/2024,St Peter Port,Sailing vessel,2024,SEVERN,ON1203,ALB,LEISURE,Sailing vessel,Machinery/equipment failure,Rendered assistance,FAIR ,CLEAR SKIES, SMOOTH,315,FAIR ,CLEAR SKIES, SMOOTH,315,Yes,-2.36733,49.5135,2024-06-09,20:23:00,6/9/2024 7:23:00 PM,-2.36733,49.5135
134260,LBI05878/2020,St Peter Port,False alarm,2020,ATLANTIC 85,B-870,ILB,PEOPLE,False alarm,False alarm,False alarm,EXCELLENT ,CLEAR SKIES, SMOOTH,180,EXCELLENT ,CLEAR SKIES, SMOOTH,180,Yes,-2.475,49.51333,2020-08-18,20:27:00,8/18/2020 7:27:00 PM,-2.475,49.51333
134261,LBI01115/2024,St Peter Port,Person ashore,2024,ATLANTIC 85,B-889,ILB,PEOPLE,Person ashore,On shore,Stood down,UNKNOWN,UNKNOWN,,,GOOD ,CLEAR SKIES, MOD/CHOP,270,No,-2.53064,49.50782,2024-03-11,19:02:00,3/11/2024 7:02:00 PM,-2.53064,49.50782
134262,LBI07021/2021,St Peter Port,Person ashore,2021,ATLANTIC 85,B-889,ILB,PEOPLE,Person ashore,On shore,Stood down,UNKNOWN,UNKNOWN,,,FAIR ,CLEAR SKIES, CALM,45,No,-2.52651,49.50498,2021-09-06,17:45:00,9/6/2021 4:45:00 PM,-2.52651,49.50498
134263,LBI01587/2024,St Peter Port,Motorboat,2024,SEVERN,ON1279,ALB,UNKNOWN,Motorboat,Machinery/equipment failure,Rendered assistance,GOOD ,PART CLOUDY, SLIGHT,90,GOOD ,PART CLOUDY, SLIGHT,90,Yes,-2.50217,49.50452,2024-03-30,12:53:00,3/30/2024 12:53:00 PM,-2.50217,49.50452
134264,LBI01589/2024,St Peter Port,Motorboat,2024,ATLANTIC 85,B-943,ILB,LEISURE,Motorboat,Machinery/equipment failure,Rendered assistance,GOOD ,PART CLOUDY, SLIGHT,90,GOOD ,PART CLOUDY, SLIGHT,90,Yes,-2.50054,49.50448,2024-03-30,13:00:00,3/30/2024 1:00:00 PM,-2.50054,49.50448
134265,LBI07480/2024,St Peter Port,False alarm,2024,ATLANTIC 85,B-943,ILB,PEOPLE,False alarm,False alarm,False alarm,GOOD ,CLEAR SKIES, CALM,,GOOD ,CLEAR SKIES, CALM,NULL,Yes,-2.54334,49.50344,2024-09-01,20:46:00,9/1/2024 7:46:00 PM,-2.54334,49.50344
134266,LBI01556/2020,St Peter Port,Person ashore,2020,SEVERN,ON1237,ALB,PEOPLE,Person ashore,On shore,Stood down,UNKNOWN,UNKNOWN,,,GOOD ,CLEAR SKIES, SMOOTH,135,No,-2.56267,49.50267,2020-05-07,19:19:00,5/7/2020 6:19:00 PM,-2.56267,49.50267
134268,LBI00921/2021,St Peter Port,Unknown Craft,2021,SEVERN,ON1203,ALB,PEOPLE,Unknown Craft,Unknown craft,Rendered assistance,GOOD ,PART CLOUDY, MOD/CHOP,180,GOOD ,PART CLOUDY, MOD/CHOP,180,Yes,-2.44833,49.50167,2021-02-23,01:37:00,2/23/2021 1:37:00 AM,-2.44833,49.50167
134269,LBI09473/2024,St Peter Port,Climber,2024,ATLANTIC 85,B-943,ILB,PEOPLE,Climber,Cut off by tide,Rendered assistance,FAIR ,CLOUDY, SLIGHT,90,FAIR ,CLOUDY, SLIGHT,90,Yes,-2.49965,49.50053,2024-11-02,15:59:00,11/2/2024 3:59:00 PM,-2.49965,49.50053
134270,LBI04818/2020,St Peter Port,Person in distress,2020,ATLANTIC 85,B-870,ILB,PEOPLE,Person in distress,Person in distress,Rendered assistance,GOOD ,CLEAR SKIES, SMOOTH,90,GOOD ,CLEAR SKIES, SMOOTH,90,Yes,-2.5,49.5,2020-07-30,12:54:00,7/30/2020 11:54:00 AM,-2.5,49.5
134271,LBI03543/2023,St Peter Port,Person in distress,2023,ATLANTIC 85,B-889,ILB,PEOPLE,Person in distress,Person in distress,Rendered assistance,NIL ,FOG, CALM,315,NIL ,FOG, CALM,315,Yes,-2.55124,49.49796,2023-06-11,02:04:00,6/11/2023 1:04:00 AM,-2.55124,49.49796
134272,LBI02100/2021,St Peter Port,Person in distress,2021,ATLANTIC 85,B-889,ILB,PEOPLE,Person in distress,Person in distress,Others assisted casualty,EXCELLENT ,CLEAR SKIES, SMOOTH,315,EXCELLENT ,CLEAR SKIES, SMOOTH,315,Yes,-2.49789,49.49562,2021-05-01,18:39:00,5/1/2021 5:39:00 PM,-2.49789,49.49562
134273,LBI03345/2022,St Peter Port,Motorboat,2022,SEVERN,ON1203,ALB,LEISURE,Motorboat,Machinery/equipment failure,Rendered assistance,GOOD ,PART CLOUDY, SLIGHT,225,GOOD ,PART CLOUDY, SLIGHT,225,Yes,-2.48763,49.49538,2022-06-10,16:10:00,6/10/2022 3:10:00 PM,-2.48763,49.49538
134274,LBI05801/2022,St Peter Port,False alarm,2022,SEVERN,ON1203,ALB,PEOPLE,False alarm,False alarm,False alarm,GOOD ,PART CLOUDY, SLIGHT,270,GOOD ,PART CLOUDY, SLIGHT,270,Yes,-2.54419,49.4927,2022-08-01,01:16:00,8/1/2022 12:16:00 AM,-2.54419,49.4927
134275,LBI05805/2022,St Peter Port,False alarm,2022,ATLANTIC 85,B-889,ILB,PEOPLE,False alarm,False alarm,False alarm,GOOD ,PART CLOUDY, SLIGHT,270,GOOD ,PART CLOUDY, SLIGHT,270,Yes,-2.54428,49.49265,2022-08-01,01:16:00,8/1/2022 12:16:00 AM,-2.54428,49.49265
134276,LBI06006/2023,St Peter Port,Tombstoner,2023,ATLANTIC 85,B-889,ILB,PEOPLE,Tombstoner,Injured/ill,Rendered assistance,FAIR ,PART CLOUDY, MOD/CHOP,315,FAIR ,PART CLOUDY, MOD/CHOP,315,Yes,-2.58717,49.49017,2023-08-03,20:05:00,8/3/2023 7:05:00 PM,-2.58717,49.49017
134277,LBI06087/2023,St Peter Port,Person in water,2023,ATLANTIC 85,B-889,ILB,PEOPLE,Person in water,In water,Stood down,UNKNOWN,UNKNOWN,,,GOOD ,PART CLOUDY, SMOOTH,270,No,-2.50743,49.49003,2023-08-07,10:55:00,8/7/2023 9:55:00 AM,-2.50743,49.49003
134278,LBI02523/2023,St Peter Port,Unknown person,2023,ATLANTIC 85,B-889,ILB,PEOPLE,Unknown person,Cut off by tide,Rendered assistance,EXCELLENT ,CLEAR SKIES, SMOOTH,0,EXCELLENT ,CLEAR SKIES, SMOOTH,0,Yes,-2.50267,49.48933,2023-05-18,18:32:00,5/18/2023 5:32:00 PM,-2.50267,49.48933
134279,LBI09387/2021,St Peter Port,Sailing vessel,2021,ATLANTIC 85,B-889,ILB,LEISURE,Sailing vessel,Machinery/equipment failure,Rendered assistance,GOOD ,CLEAR SKIES, SLIGHT,0,GOOD ,CLEAR SKIES, SLIGHT,0,Yes,-2.50033,49.48917,2021-11-20,18:53:00,11/20/2021 6:53:00 PM,-2.50033,49.48917
134280,LBI04462/2021,St Peter Port,Swimmer,2021,ATLANTIC 85,B-889,ILB,PEOPLE,Swimmer,In water,Rendered assistance,GOOD ,PART CLOUDY, SMOOTH,315,GOOD ,PART CLOUDY, SMOOTH,315,Yes,-2.5055,49.48874,2021-07-13,08:00:00,7/13/2021 7:00:00 AM,-2.5055,49.48874
134281,LBI05627/2023,St Peter Port,Sailing vessel,2023,ATLANTIC 85,B-889,ILB,LEISURE,Sailing vessel,Unknown craft,Others assisted casualty,FAIR ,CLOUDY, SLIGHT,225,FAIR ,CLOUDY, SLIGHT,225,Yes,-2.48213,49.48778,2023-07-25,22:23:00,7/25/2023 9:23:00 PM,-2.48213,49.48778
134282,LBI00954/2022,St Peter Port,Person in distress,2022,SEVERN,ON1203,ALB,PEOPLE,Person in distress,Person in distress,Others assisted casualty,FAIR ,PART CLOUDY, SLIGHT,225,FAIR ,PART CLOUDY, SLIGHT,225,Yes,-2.50701,49.48697,2022-03-08,22:55:00,3/8/2022 10:55:00 PM,-2.50701,49.48697
134283,LBI00956/2022,St Peter Port,Person in distress,2022,ATLANTIC 85,B-889,ILB,PEOPLE,Person in distress,Person in distress,Others assisted casualty,FAIR ,PART CLOUDY, SLIGHT,225,FAIR ,PART CLOUDY, SLIGHT,225,Yes,-2.5063,49.48683,2022-03-08,23:01:00,3/8/2022 11:01:00 PM,-2.5063,49.48683
134284,LBI08389/2021,St Peter Port,Motorboat,2021,ATLANTIC 85,B-889,ILB,LEISURE,Motorboat,Machinery/equipment failure,Rendered assistance,GOOD ,CLEAR SKIES, SLIGHT,180,GOOD ,CLEAR SKIES, SLIGHT,180,Yes,-2.48613,49.48473,2021-10-17,15:54:00,10/17/2021 2:54:00 PM,-2.48613,49.48473
134285,LBI00982/2020,St Peter Port,False alarm,2020,SEVERN,ON1237,ALB,PEOPLE,False alarm,False alarm,False alarm,POOR ,RAIN / HAIL, MOD/CHOP,225,POOR ,RAIN / HAIL, MOD/CHOP,225,Yes,-2.50867,49.48445,2020-03-14,23:20:00,3/14/2020 11:20:00 PM,-2.50867,49.48445
134286,LBI07431/2023,St Peter Port,Motorboat,2023,SEVERN,ON1203,ALB,LEISURE,Motorboat,Machinery/equipment failure,Rendered assistance,GOOD ,CLEAR SKIES, CALM,315,GOOD ,CLEAR SKIES, CALM,315,Yes,-2.48643,49.48433,2023-09-01,18:21:00,9/1/2023 5:21:00 PM,-2.48643,49.48433
134287,LBI00983/2020,St Peter Port,False alarm,2020,ATLANTIC 85,B-870,ILB,PEOPLE,False alarm,False alarm,False alarm,POOR ,RAIN / HAIL, MOD/CHOP,225,POOR ,RAIN / HAIL, MOD/CHOP,225,Yes,-2.50903,49.48396,2020-03-14,23:20:00,3/14/2020 11:20:00 PM,-2.50903,49.48396
134288,LBI07203/2023,St Peter Port,Motorboat,2023,SEVERN,ON1203,ALB,LEISURE,Motorboat,Machinery/equipment failure,Rendered assistance,GOOD ,PART CLOUDY, SMOOTH,45,GOOD ,PART CLOUDY, SMOOTH,45,Yes,-2.63333,49.48333,2023-08-28,10:51:00,8/28/2023 9:51:00 AM,-2.63333,49.48333
134289,LBI09313/2024,St Peter Port,Person in distress,2024,ATLANTIC 85,B-943,ILB,PEOPLE,Person in distress,Person in distress,Others assisted casualty,GOOD ,CLEAR SKIES, SMOOTH,270,GOOD ,CLEAR SKIES, SMOOTH,270,Yes,-2.51165,49.48295,2024-10-27,18:15:00,10/27/2024 6:15:00 PM,-2.51165,49.48295
134290,LBI04998/2024,St Peter Port,Swimmer,2024,SEVERN,ON1203,ALB,PEOPLE,Swimmer,Missing/overdue,Others assisted casualty,FAIR ,CLEAR SKIES, SMOOTH,225,FAIR ,CLEAR SKIES, SMOOTH,225,Yes,-2.58818,49.48285,2024-07-14,17:11:00,7/14/2024 4:11:00 PM,-2.58818,49.48285
134291,LBI05000/2024,St Peter Port,Swimmer,2024,ATLANTIC 85,B-943,ILB,PEOPLE,Swimmer,Missing/overdue,Others assisted casualty,FAIR ,CLEAR SKIES, SMOOTH,225,FAIR ,CLEAR SKIES, SMOOTH,225,Yes,-2.58818,49.48285,2024-07-14,17:01:00,7/14/2024 4:01:00 PM,-2.58818,49.48285
134292,LBI00393/2020,St Peter Port,Commercial fishing,2020,SEVERN,ON1237,ALB,COMMERCIAL,Commercial fishing,Unknown person,Others assisted casualty,GOOD ,CLEAR SKIES, SLIGHT,270,GOOD ,CLEAR SKIES, SLIGHT,270,Yes,-2.47297,49.48184,2020-01-29,12:32:00,1/29/2020 12:32:00 PM,-2.47297,49.48184
134293,LBI04846/2023,St Peter Port,Motorboat,2023,ATLANTIC 85,B-889,ILB,LEISURE,Motorboat,Machinery/equipment failure,Rendered assistance,GOOD ,PART CLOUDY, SLIGHT,,GOOD ,PART CLOUDY, SLIGHT,NULL,Yes,-2.45605,49.48183,2023-07-08,14:32:00,7/8/2023 1:32:00 PM,-2.45605,49.48183
134294,LBI05833/2021,St Peter Port,Person ashore,2021,ATLANTIC 85,B-889,ILB,PEOPLE,Person ashore,On shore,Stood down,UNKNOWN,UNKNOWN,,,GOOD ,PART CLOUDY, MOD/CHOP,270,No,-2.59595,49.48182,2021-08-09,19:15:00,8/9/2021 6:15:00 PM,-2.59595,49.48182
134295,LBI02810/2020,St Peter Port,Motorboat,2020,SEVERN,ON1237,ALB,LEISURE,Motorboat,Machinery/equipment failure,Rendered assistance,GOOD ,CLEAR SKIES, SLIGHT,315,GOOD ,CLEAR SKIES, SLIGHT,315,Yes,-2.46103,49.48115,2020-06-20,17:26:00,6/20/2020 4:26:00 PM,-2.46103,49.48115
134296,LBI07672/2024,St Peter Port,Sailing vessel,2024,SEVERN,ON1203,ALB,LEISURE,Sailing vessel,Collision,Rendered assistance,GOOD ,PART CLOUDY, SMOOTH,135,GOOD ,PART CLOUDY, SMOOTH,135,Yes,-2.44607,49.48053,2024-09-06,15:12:00,9/6/2024 2:12:00 PM,-2.44607,49.48053
134297,LBI05758/2020,St Peter Port,False alarm,2020,SEVERN,ON1203,ALB,PEOPLE,False alarm,False alarm,False alarm,EXCELLENT ,PART CLOUDY, CALM,315,EXCELLENT ,PART CLOUDY, CALM,315,Yes,-2.29983,49.47973,2020-08-15,17:20:00,8/15/2020 4:20:00 PM,-2.29983,49.47973
134298,LBI03582/2022,St Peter Port,Walker/runner,2022,ATLANTIC 85,B-889,ILB,PEOPLE,Walker/runner,Injured/ill,Rendered assistance,GOOD ,CLEAR SKIES, CALM,45,GOOD ,CLEAR SKIES, CALM,45,Yes,-2.44772,49.47793,2022-06-16,14:52:00,6/16/2022 1:52:00 PM,-2.44772,49.47793
134299,LBI04978/2021,St Peter Port,Person in water,2021,SEVERN,ON1203,ALB,PEOPLE,Person in water,In water,Stood down,UNKNOWN,UNKNOWN,,,GOOD ,CLEAR SKIES, SLIGHT,45,No,-2.60477,49.47747,2021-07-19,17:37:00,7/19/2021 4:37:00 PM,-2.60477,49.47747
134300,LBI04977/2021,St Peter Port,Person in water,2021,ATLANTIC 85,B-889,ILB,PEOPLE,Person in water,In water,Stood down,UNKNOWN,UNKNOWN,,,GOOD ,CLEAR SKIES, SLIGHT,45,No,-2.60488,49.47728,2021-07-19,17:37:00,7/19/2021 4:37:00 PM,-2.60488,49.47728
134301,LBI03874/2023,St Peter Port,Motorboat,2023,ATLANTIC 85,B-889,ILB,LEISURE,Motorboat,Machinery/equipment failure,Rendered assistance,GOOD ,CLEAR SKIES, SMOOTH,0,GOOD ,CLEAR SKIES, SMOOTH,0,Yes,-2.4665,49.47617,2023-06-15,18:38:00,6/15/2023 5:38:00 PM,-2.4665,49.47617
134302,LBI06569/2020,St Peter Port,Swimmer,2020,ATLANTIC 85,B-870,ILB,PEOPLE,Swimmer,Missing/overdue,Rendered assistance,GOOD ,CLEAR SKIES, MOD/CHOP,270,GOOD ,CLEAR SKIES, MOD/CHOP,270,Yes,-2.46817,49.47533,2020-08-28,15:25:00,8/28/2020 2:25:00 PM,-2.46817,49.47533
134303,LBI06576/2020,St Peter Port,Swimmer,2020,SEVERN,ON1203,ALB,PEOPLE,Swimmer,Missing/overdue,Others assisted casualty,GOOD ,CLEAR SKIES, MOD/CHOP,270,GOOD ,CLEAR SKIES, MOD/CHOP,270,Yes,-2.46817,49.47533,2020-08-28,15:25:00,8/28/2020 2:25:00 PM,-2.46817,49.47533
